股票名稱,總體趨勢分析,支撐位與阻力位,結合技術指標,技術型態,投資決策建議,,,,,,,
佳醫,長期趨勢呈現震盪上升，短期趨勢呈現回調跡象,主要支撐位在87.0，主要阻力位在89.0，突破點在88.3，轉折點在87.7,MACD顯示動能減弱，RSI接近超賣區，布林帶顯示價格接近下軌，量價關係顯示成交量減少,未出現明顯的頭肩型態或雙底，可能出現趨勢反轉,建議觀察87.0支撐位，若跌破可考慮賣出，若反彈可考慮買入，注意短期回調風險,,,,,,,
信紘科,長期趨勢呈現上升趨勢，短期趨勢有波動但整體仍在上升通道中,主要支撐位在188.9和145.6，主要阻力位在210.0和206.0，突破點在210.0，轉折點在206.0,MACD顯示多頭趨勢，RSI在70左右，布林帶顯示價格在上軌附近，量價關係顯示成交量增加伴隨價格上升,出現頭肩型態，雙底型態未明顯，可能出現趨勢反轉,建議在突破210.0時買入，跌破188.9時賣出，注意市場波動和政策風險,,,,,,,
信邦,長期趨勢呈現震盪上升，短期趨勢呈現下降趨勢,支撐位在255.0，阻力位在280.8，突破點在258.0,MACD顯示近期有下降趨勢，RSI顯示超賣狀態，布林帶顯示價格在下軌附近,量價關係顯示近期成交量增加但價格下降,出現頭肩型態，可能即將發生趨勢反轉,建議觀察255.0支撐位，若跌破可考慮賣出，注意成交量變化及技術指標變化,,,,,,
健喬,長期趨勢呈現下降趨勢，短期趨勢有反彈跡象,主要支撐位在32.63，阻力位在34.05，突破點可能在33.95附近,MACD顯示短期內有反彈跡象，RSI在中性區域，布林帶顯示波動性增加，量價關係顯示近期交易量增加,未出現明顯的頭肩型態或雙底型態，可能有反轉跡象,建議觀察33.95的突破情況，若突破可考慮買入，若未突破則保持觀望，注意市場波動風險,,,,,,,
元大金,長期趨勢呈現上升趨勢，短期趨勢有波動但整體仍在上升通道中,主要支撐位在34.00附近，主要阻力位在36.00附近，突破點在35.00附近，轉折點在34.50附近,MACD顯示多頭趨勢，RSI在50以上，布林帶顯示價格在中軌上方，量價關係顯示成交量隨價格上升而增加,沒有明顯的頭肩型態或雙底型態，可能出現趨勢反轉的跡象不明顯,建議在支撐位附近買入，在阻力位附近賣出，注意短期內的價格波動風險,,,,,,,
兆豐金,長期趨勢呈現震盪上升，短期趨勢呈現震盪整理,主要支撐位在39.00，阻力位在40.00，突破點在40.00附近，轉折點在39.00附近,MACD指標顯示動能減弱，RSI指標在中性區間，布林帶顯示價格在中軌附近，量價關係顯示成交量穩定,未出現明顯的頭肩型態或雙底型態，無法推測即將發生趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，注意市場波動風險,,,,,,,
凌群,長期趨勢呈現上升趨勢，短期趨勢波動較大但整體仍有上升趨勢,主要支撐位在64.3和66.3，主要阻力位在70.7和71.4，突破點在68.6附近,MACD顯示多頭趨勢，RSI在70附近，布林帶顯示價格在上軌附近，量價關係顯示成交量增加伴隨價格上升,出現多次頭肩型態，雙底型態不明顯，可能出現趨勢反轉,建議在突破阻力位後買入，注意短期波動風險和成交量變化,,,,,,,
凡甲,長期趨勢呈現上升趨勢，短期趨勢有波動但整體仍在上升通道中,主要支撐位在218.3和198.5，主要阻力位在277.0和290.0，突破點在270.0，轉折點在266.0,MACD顯示多頭趨勢，RSI在中高位，布林帶顯示價格在上軌附近，量價關係顯示成交量隨價格上升而增加,出現多次頭肩型態和雙底，可能即將發生趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，注意短期波動風險和長期上升機會,,,,,,,
南僑,長期趨勢呈現下降趨勢，短期趨勢也呈現下降趨勢,主要支撐位在48.10，主要阻力位在51.3，突破點在48.10附近,MACD顯示空頭趨勢，RSI處於超賣區域，布林帶顯示波動性增加，量價關係顯示成交量增加但價格下跌,未出現明顯的頭肩型態或雙底型態，無法推測即將發生趨勢反轉,建議觀察48.10的支撐位，若跌破可考慮賣出，注意市場波動性增加的風險,,,,,,,
卜蜂,長期趨勢呈現下降趨勢，短期趨勢呈現上升趨勢,主要支撐位在88.8，主要阻力位在101.9，突破點在100.5,MACD顯示短期內有上升趨勢，RSI顯示目前處於中性區域，布林帶顯示價格波動較大，量價關係顯示近期成交量增加,出現頭肩型態，可能即將發生趨勢反轉,建議在突破阻力位101.9時買入，在跌破支撐位88.8時賣出，注意市場波動風險和成交量變化,,,,,,,
可寧衛,長期趨勢呈現上升趨勢，短期趨勢在最近幾個月內也呈現上升趨勢,主要支撐位在183.0，主要阻力位在193.3，突破點在191.5附近,MACD顯示上升動能，RSI在70左右，布林帶顯示價格在上軌附近，量價關係顯示成交量增加,出現頭肩型態，可能即將發生趨勢反轉,建議在突破193.3後買入，跌破183.0時賣出，注意短期內的波動風險和長期上升趨勢的機會,,,,,,,
台中銀,長期趨勢呈現上升趨勢，短期趨勢也呈現上升趨勢,主要支撐位在19.58和20.18，主要阻力位在21.01和20.76，突破點在20.76附近,MACD顯示上升動能，RSI在70左右，布林帶顯示價格在上軌附近，量價關係顯示成交量增加,未出現頭肩型態或雙底，可能出現趨勢反轉,建議在突破20.76後買入，注意21.01的阻力位和成交量變化,,,,,,,
台泥,長期趨勢呈現震盪整理，短期趨勢有下跌跡象,主要支撐位在32.00，阻力位在34.00，突破點在33.50附近,MACD顯示動能減弱，RSI在中性區域，布林帶收窄，量價關係顯示成交量減少,未出現明顯的頭肩型態或雙底，可能有趨勢反轉跡象,建議觀察32.00支撐位，若跌破可考慮賣出，若突破33.50可考慮買入，注意市場波動風險,,,,,,,
台積電,長期趨勢呈現上升趨勢，短期趨勢有下降跡象,主要支撐位在800和720，阻力位在1038和969，突破點在2024年5月和2025年1月,MACD顯示出多次金叉和死叉，RSI在超買和超賣區間波動，布林帶顯示出價格波動範圍,出現了多次頭肩型態和雙底型態，可能即將發生趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，注意短期下降趨勢的風險和長期上升趨勢的機會,,,,,,,
大盤,長期趨勢呈現上升趨勢，但短期趨勢顯示下降趨勢,主要支撐位在7391.72和6903.60，主要阻力位在7872.04和7653.88，突破點可能在7391.72附近,MACD顯示短期內可能有反彈，RSI顯示超賣狀態，布林帶顯示波動性增加，量價關係顯示近期賣壓較大,出現頭肩型態，可能預示趨勢反轉,建議在7391.72附近買入，注意7653.88附近的阻力位，潛在風險包括短期內的波動性增加
台驊,長期趨勢呈現下降趨勢，短期趨勢呈現橫盤整理,主要支撐位在76.0，阻力位在85.3，突破點在83.0附近,MACD顯示空頭趨勢，RSI在50附近徘徊，布林帶顯示波動性減弱，量價關係顯示成交量減少,未出現明顯的頭肩型態或雙底，無法推測即將發生趨勢反轉,建議觀察83.0的突破情況，若突破可考慮買入，若未突破則持續觀望，注意市場波動性和成交量的變化,,,,,,,
和潤,長期趨勢呈下降趨勢，短期趨勢也呈下降趨勢,主要支撐位在74.3，主要阻力位在94.3，突破點在76.7，轉折點在79.2,MACD顯示空頭趨勢，RSI在低位徘徊，布林帶顯示價格在下軌附近，量價關係顯示成交量較低,未出現頭肩型態或雙底，無明顯技術型態，無法推測即將發生趨勢反轉,建議觀望，等待明確的反轉信號，注意潛在的風險如價格繼續下跌的可能性,,,,,,,
嘉泥,長期趨勢呈現下降趨勢，短期趨勢波動較大但仍呈現下降趨勢,主要支撐位在15.90，主要阻力位在17.98，突破點可能在16.00附近,MACD顯示空頭趨勢，RSI在低位徘徊，布林帶顯示波動幅度較大，量價關係顯示成交量增加但價格下降,未出現明顯的頭肩型態或雙底，技術型態顯示下降趨勢持續,建議觀察16.00附近的突破情況，若突破可考慮買入，若未突破則建議賣出，需注意市場波動風險,,,,,,,
大成,長期趨勢呈現下降趨勢，短期趨勢呈現上升趨勢,主要支撐位在55.3和51.3，主要阻力位在58.2和57.4，突破點在2025年3月，轉折點在2024年8月,MACD顯示近期有上升趨勢，RSI顯示超買狀態，布林帶顯示波動性增加，量價關係顯示近期成交量增加,出現頭肩型態，雙底型態，推測可能即將發生趨勢反轉,建議在突破58.2時買入，在跌破55.3時賣出，注意市場波動性和成交量變化,,,,,,,
大統益,長期趨勢呈現上升趨勢，短期趨勢有波動但整體仍在上升,主要支撐位在146.5和144.3，主要阻力位在152.3和151.0，突破點可能在152.3附近,MACD顯示近期有上升動能，RSI在50左右徘徊，布林帶顯示價格在中軌附近波動，量價關係顯示成交量在價格上升時增加,出現了多次頭肩型態和雙底型態，可能預示即將發生趨勢反轉,建議在突破152.3時買入，在跌破146.5時賣出，注意市場波動和政策變化可能帶來的風險和機會,,,,,,,
大聯大,長期趨勢呈現下降趨勢，短期趨勢也呈現下降趨勢,主要支撐位在64.0，主要阻力位在69.9，突破點在2024年7月，轉折點在2024年12月,MACD顯示下降趨勢，RSI在低位徘徊，布林帶顯示波動幅度減小，量價關係顯示成交量減少,出現了頭肩型態，無雙底型態，可能即將發生趨勢反轉,建議賣出，注意潛在的風險如價格持續下跌，機會如價格反彈,,,,,,,
太醫,長期趨勢呈現上升趨勢，短期趨勢有波動但整體仍在上升,主要支撐位在86.2和83.4，主要阻力位在93.7和101，突破點在2025年1月和2025年3月,MACD顯示多次交叉，RSI在50-70之間波動，布林帶顯示價格在中軌和上軌之間波動，量價關係顯示價格上升時成交量增加,出現了多次頭肩型態和雙底型態，可能即將發生趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，注意市場波動和技術指標變化,,,,,,,
崇友,長期趨勢呈現上升趨勢，但短期趨勢有些波動，近期有回調跡象,主要支撐位在102.5和97.5，主要阻力位在110和115，突破點在105.5附近，轉折點在104.5附近,MACD顯示近期有回調跡象，RSI在中性區域，布林帶顯示價格在中軌附近，量價關係顯示近期成交量有所增加,沒有明顯的頭肩型態或雙底，但有可能出現趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，注意近期的回調風險和成交量變化,,,,,,,
崇越,長期趨勢顯示2024年初至2025年初呈現上升趨勢，但2025年初開始出現下降跡象，短期趨勢顯示近期有下跌趨勢,主要支撐位在234.4和211.4，主要阻力位在286.4和280.4，突破點出現在2024年3月和2024年8月，轉折點出現在2025年初,MACD顯示2025年初有死叉，RSI顯示超賣，布林帶顯示近期價格在下軌附近波動，量價關係顯示成交量增加但價格下跌,未出現明顯的頭肩型態或雙底，但2025年初可能有趨勢反轉跡象,建議在支撐位附近考慮買入，在阻力位附近考慮賣出，注意近期的下跌趨勢和成交量增加的風險,,,,,,,
崑鼎,長期趨勢呈現下降趨勢，短期趨勢呈現上升趨勢,主要支撐位在287.3，主要阻力位在298.9，突破點在293.5附近,MACD顯示短期內有上升趨勢，RSI顯示超買狀態，布林帶顯示價格波動較大，量價關係顯示近期交易量增加,出現頭肩型態，可能即將發生趨勢反轉,建議在支撐位287.3附近買入，在阻力位298.9附近賣出，注意短期內價格波動较大,,,,,,,
巨路,長期趨勢顯示波動上升，短期趨勢有回調跡象,主要支撐位在104.5和98.7，主要阻力位在110.3和115.0，突破點在2024年4月和2025年3月,MACD顯示背離跡象，RSI在超買和超賣區間波動，布林帶顯示價格波動範圍擴大，量價關係顯示成交量增加伴隨價格波動,出現頭肩型態及雙底型態，可能預示趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，注意市場波動及技術指標的變化,,,,,,,
惠普,長期趨勢呈現上升趨勢，短期趨勢有回調跡象,主要支撐位在70.1和68.0，主要阻力位在71.4和73.0，突破點在71.4，轉折點在70.6,MACD顯示有回調跡象，RSI在中性區域，布林帶顯示價格在中軌附近，量價關係顯示近期成交量增加,未出現明顯的頭肩型態或雙底，但有可能形成新的上升趨勢,建議在支撐位附近買入，在阻力位附近賣出，注意短期回調風險,,,,,,,
承業醫,長期趨勢呈現下降趨勢，短期趨勢有反彈跡象,主要支撐位在48.00，主要阻力位在52.00，突破點在49.81附近,MACD顯示動能減弱，RSI在中性區域，布林帶顯示波動性增加，量價關係顯示成交量增加但價格下跌,未出現明顯的頭肩型態或雙底，可能有反轉跡象,建議觀察49.81的突破情況，注意波動性增加的風險和短期反彈的機會,,,,,,,
捷流閥業,長期趨勢呈現下降趨勢，短期趨勢有反彈跡象,主要支撐位在88.0，主要阻力位在94.5，突破點在90.3附近,MACD顯示空頭趨勢，RSI接近超賣區，布林帶收縮，量價關係顯示成交量減少,出現頭肩型態，可能有趨勢反轉跡象,建議觀察90.3附近的突破情況，注意短期反彈風險和長期下降趨勢,,,,,,,
文曄,長期趨勢呈現下降趨勢，短期趨勢波動較大但整體仍呈現下降趨勢,主要支撐位在93.3 TWD，主要阻力位在106.4 TWD，突破點在99.9 TWD附近,MACD指標顯示動能減弱，RSI指標在中性區域，布林帶顯示波動性減少，量價關係顯示成交量減少,出現頭肩型態，可能即將發生趨勢反轉,建議觀察99.9 TWD的突破點，若突破可考慮買入，若未突破則應考慮賣出，注意市場波動風險,,,,,,,
新鼎,長期趨勢呈現下降趨勢，短期趨勢也呈現下降趨勢,主要支撐位在158.6，主要阻力位在170.2，突破點可能在164.5附近,MACD顯示空頭趨勢，RSI在低位徘徊，布林帶顯示價格在下軌附近，量價關係顯示成交量較低,未出現明顯的頭肩型態或雙底，無明顯趨勢反轉跡象,建議觀望，等待明確的反轉信號，注意市場波動風險,,,,,,,
日友,長期趨勢為下降趨勢，短期趨勢為震盪整理,主要支撐位在80.0，主要阻力位在90.0，突破點在82.0附近,MACD指標顯示空頭趨勢，RSI指標在中性區域，布林帶顯示震盪整理，量價關係顯示成交量較低,未出現明顯的頭肩型態或雙底型態，無法推測即將發生趨勢反轉,建議觀察82.0的突破情況，若突破可考慮買入，若跌破80.0則需謹慎，潛在風險為成交量低迷，機會為突破阻力位,,,,,,,
日電貿,長期趨勢呈現震盪上升，短期趨勢有回調跡象,主要支撐位在68.3和61.6，主要阻力位在76.0和80.0，突破點在72.2，轉折點在76.0,MACD指標顯示近期有回調，RSI指標在中性區域，布林帶顯示價格在中軌附近震盪，量價關係顯示近期成交量增加，價格有上升動能,出現頭肩型態，雙底型態不明顯，可能有趨勢反轉跡象,建議在支撐位附近買入，在阻力位附近賣出，注意市場波動和政策風險,,,,,,,
旭富,長期趨勢呈現下降趨勢，短期趨勢也呈現下降趨勢,主要支撐位在78.0，主要阻力位在88.6，突破點在85.2附近,MACD顯示空頭趨勢，RSI處於超賣區域，布林帶顯示波動性增加，量價關係顯示賣壓較大,未出現明顯的頭肩型態或雙底，但有可能出現趨勢反轉,建議觀察是否能突破85.2阻力位，若無法突破則建議賣出，應注意短期內的波動風險,,,,,,,
晟德,短期趨勢呈現下降趨勢，長期趨勢波動較大但整體呈現下降趨勢,主要支撐位在38.05，阻力位在44.49，突破點在44.87，轉折點在38.05,MACD顯示空頭趨勢，RSI在低位徘徊，布林帶顯示波動性增加，量價關係顯示賣壓較大,出現頭肩型態，雙底型態不明顯，可能出現趨勢反轉,建議觀察38.05支撐位，若跌破可考慮賣出，若突破44.87可考慮買入，注意市場波動風險,,,,,,,
普萊德,長期趨勢呈現震盪整理，短期趨勢顯示近期有下降跡象,主要支撐位在151.5 TWD，主要阻力位在155.0 TWD，突破點在155.0 TWD附近,MACD指標顯示下降趨勢，RSI接近中性，布林帶顯示價格在中軌附近震盪，量價關係顯示近期成交量增加,未出現明顯頭肩型態或雙底型態，短期內可能維持震盪整理,建議觀察155.0 TWD的突破情況，若突破可考慮買入，若跌破151.5 TWD則需謹慎，注意近期成交量變化可能帶來的風險或機會,,,,,,,
晶焱,長期趨勢為下降趨勢，短期趨勢也呈現下降趨勢,主要支撐位在77.3，主要阻力位在84.5、103.3、106.5、107.5，突破點可能在79.2附近,MACD顯示空頭趨勢，RSI在低位徘徊，布林帶顯示波動性較大，量價關係顯示成交量較低,未出現明顯的頭肩型態或雙底，技術型態顯示下降趨勢,建議觀察79.2附近的突破點，短期內不建議買入，應注意下降趨勢中的風險,,,,,,,
杏昌,長期趨勢呈現上升趨勢，短期趨勢有波動但整體仍在上升趨勢中,主要支撐位在139.5和137.1，主要阻力位在143.2和142.8，突破點在142.5，轉折點在141.5,MACD顯示近期有上升趨勢，RSI在中等偏高位置，布林帶顯示價格在中間偏上位置，量價關係顯示成交量在高點時價格上升,未出現明顯的頭肩型態或雙底，技術型態顯示可能有小幅度反轉,建議在支撐位附近買入，在阻力位附近賣出，注意短期波動風險,,,,,,,
根基,長期趨勢呈現下降趨勢，短期趨勢有反彈跡象,主要支撐位在72.4和66.4，主要阻力位在83.0和88.0，突破點在2024年4月和2025年3月,MACD顯示出多次交叉，RSI在2024年4月和2025年3月達到高點，布林帶在2024年4月和2025年3月擴張,出現了頭肩型態和雙底型態，可能即將發生趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，注意市場波動和技術指標的變化,,,,,,,
桂盟,長期趨勢呈現下降趨勢，短期趨勢有反彈跡象,主要支撐位在113.0，阻力位在140.6，突破點可能在123.0附近,MACD顯示空頭趨勢，RSI接近超賣區，布林帶顯示波動加劇，量價關係顯示成交量增加但價格下跌,未出現明顯的頭肩型態或雙底，可能有反彈但需觀察,建議短期內觀察反彈力度，長期仍需謹慎，注意市場波動和成交量变化,,,,,,,
櫻花,長期趨勢呈現上升趨勢，短期趨勢也呈現上升趨勢,主要支撐位在87.2和89.0，主要阻力位在93.1和92.5，突破點在2024年3月和2025年3月，轉折點在2024年7月,MACD顯示多頭趨勢，RSI在高位，布林帶顯示價格在上軌，量價關係顯示成交量增加伴隨價格上升,出現頭肩型態，雙底型態，推測即將發生趨勢反轉,建議在突破點買入，在阻力位賣出，注意高位風險和成交量變化,,,,,,,
永信,長期趨勢呈現上升趨勢，短期趨勢有波動但整體仍在上升通道中,主要支撐位在約54.7和50.2，主要阻力位在約58.8和62.0，突破點在58.8附近,MACD顯示多頭趨勢，RSI在中高區域，布林帶顯示價格在上軌附近，量價關係顯示成交量在上升趨勢中增加,未見明顯頭肩型態或雙底，但有多次短期回調，可能出現趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，注意短期波動風險,,,,,,,
永記,長期趨勢呈現震盪走勢，短期趨勢近期有下跌跡象,主要支撐位在75.0，主要阻力位在77.5，突破點在76.0附近,MACD顯示近期有下跌趨勢，RSI在中性區域，布林帶顯示價格在中軌附近震盪，量價關係顯示成交量較低,未出現明顯的頭肩型態或雙底型態，無法推測即將發生趨勢反轉,建議觀察75.0支撐位，若跌破可考慮賣出，若突破77.5阻力位可考慮買入，注意市場波動風險,,,,,,,
永豐實,長期趨勢顯示出一個先上升後下降的趨勢，短期趨勢則顯示出一個小幅度的上升趨勢,主要支撐位在42.00左右，主要阻力位在49.00左右，突破點可能出現在44.79附近,MACD顯示出一個即將形成的黃金交叉，RSI在50左右徘徊，布林帶顯示出價格在中軌附近波動，量價關係顯示出價格上升時成交量增加,圖中未出現明顯的頭肩型態或雙底型態，但有可能形成一個小型的上升三角形,建議在突破44.79時買入，若價格跌破42.00則考慮賣出，應注意市場波動和成交量變化,,,,,,,
永豐金,長期趨勢呈現下降趨勢，短期趨勢呈現橫盤整理,主要支撐位在22.00，主要阻力位在23.50，突破點在24.00，轉折點在22.50,MACD顯示空頭趨勢，RSI在50附近徘徊，布林帶收縮，量價關係顯示成交量減少,未出現頭肩型態或雙底，無明顯技術型態，無法推測即將發生趨勢反轉,建議觀望，等待突破23.50後再考慮買入，注意成交量變化及市場情緒,,,,,,,
泰山,長期趨勢為震盪整理，短期趨勢為下跌,主要支撐位在20.00，主要阻力位在21.50，突破點在21.00附近，轉折點在20.50附近,MACD顯示空頭趨勢，RSI在中性區域，布林帶顯示價格在中軌下方，量價關係顯示成交量較低,未出現明顯的頭肩型態或雙底型態，無法推測即將發生趨勢反轉,建議觀察20.00支撐位，若跌破可考慮賣出，若突破21.00可考慮買入，注意市場波動風險,,,,,,,
漢科,長期趨勢呈現震盪走勢，短期趨勢呈現下降趨勢,主要支撐位在94.1和82.7，主要阻力位在101.5和98.5，突破點在2024年4月和2025年1月,MACD顯示空頭趨勢，RSI在50以下，布林帶顯示價格在下軌附近，量價關係顯示成交量在下降趨勢中增加,未出現明顯的頭肩型態或雙底型態，無法推測即將發生趨勢反轉,建議觀察94.1的支撐位，若跌破可考慮賣出，若反彈可考慮買入，注意市場波動風險,,,,,,,
潤弘,長期趨勢呈現上升趨勢，短期趨勢有波動但整體仍在上升,主要支撐位在173.0和118.3，主要阻力位在200.0和184.0，突破點在2024年7月和2025年3月,MACD顯示多次金叉和死叉，RSI在超買和超賣區間波動，布林帶顯示價格在中軌和上軌之間波動，量價關係顯示價格上升時成交量增加,出現多次頭肩型態和雙底型態，可能推測即將發生趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，注意市場波動和技術指標的變化,,,,,,,
